,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO46416,14.29,10.71,10.71,0.0,46.43,17.86,Ovary-AdenoCA
DO46581,10.0,10.0,0.0,10.0,20.0,50.0,Ovary-AdenoCA
DO28952,0.0,15.0,5.0,5.0,40.0,35.0,Ovary-AdenoCA
DO46606,15.0,10.0,10.0,10.0,35.0,20.0,Ovary-AdenoCA
DO27978,0.0,28.57,0.0,0.0,14.29,57.14,Ovary-AdenoCA
DO46372,18.18,12.12,30.3,3.03,27.27,9.09,Ovary-AdenoCA
DO46597,5.88,0.0,11.76,0.0,47.06,35.29,Ovary-AdenoCA
DO32391,25.0,0.0,12.5,12.5,50.0,0.0,Ovary-AdenoCA
DO46382,5.26,10.53,5.26,5.26,52.63,21.05,Ovary-AdenoCA
DO29398,2.78,19.44,33.33,5.56,27.78,11.11,Ovary-AdenoCA
DO28004,0.0,27.27,0.0,9.09,27.27,36.36,Ovary-AdenoCA
DO31551,0.0,10.0,0.0,20.0,30.0,40.0,Ovary-AdenoCA
DO46566,0.0,0.0,33.33,8.33,8.33,50.0,Ovary-AdenoCA
DO28823,0.0,20.0,20.0,6.67,40.0,13.33,Ovary-AdenoCA
DO29980,14.29,21.43,0.0,7.14,35.71,21.43,Ovary-AdenoCA
DO32646,0.0,30.0,30.0,0.0,20.0,20.0,Ovary-AdenoCA
DO28093,7.5,12.5,22.5,2.5,35.0,20.0,Ovary-AdenoCA
DO46402,12.5,4.17,8.33,8.33,41.67,25.0,Ovary-AdenoCA
DO46370,7.69,19.23,15.38,11.54,38.46,7.69,Ovary-AdenoCA
DO46388,0.0,0.0,33.33,0.0,41.67,25.0,Ovary-AdenoCA
DO46344,5.88,0.0,17.65,0.0,35.29,41.18,Ovary-AdenoCA
DO28089,4.76,19.05,33.33,4.76,33.33,4.76,Ovary-AdenoCA
DO30550,0.0,0.0,25.0,37.5,37.5,0.0,Ovary-AdenoCA
DO30220,0.0,4.76,23.81,14.29,38.1,19.05,Ovary-AdenoCA
DO30970,10.0,13.33,23.33,10.0,20.0,23.33,Ovary-AdenoCA
DO28024,4.55,18.18,9.09,18.18,27.27,22.73,Ovary-AdenoCA
DO46576,8.33,4.17,16.67,0.0,33.33,37.5,Ovary-AdenoCA
DO46568,12.5,12.5,16.67,4.17,41.67,12.5,Ovary-AdenoCA
DO46354,5.0,15.0,10.0,0.0,45.0,25.0,Ovary-AdenoCA
DO31150,9.38,15.62,21.88,12.5,18.75,21.88,Ovary-AdenoCA
DO29760,12.5,12.5,18.75,18.75,18.75,18.75,Ovary-AdenoCA
DO46561,6.25,25.0,12.5,6.25,18.75,31.25,Ovary-AdenoCA
DO32237,4.76,9.52,14.29,4.76,42.86,23.81,Ovary-AdenoCA
DO46346,11.11,11.11,33.33,0.0,11.11,33.33,Ovary-AdenoCA
DO46498,15.0,0.0,25.0,10.0,20.0,30.0,Ovary-AdenoCA
DO46380,14.81,18.52,29.63,11.11,18.52,7.41,Ovary-AdenoCA
DO46374,0.0,22.22,14.81,3.7,29.63,29.63,Ovary-AdenoCA
DO29308,0.0,12.5,0.0,25.0,25.0,37.5,Ovary-AdenoCA
DO31769,5.88,11.76,29.41,5.88,41.18,5.88,Ovary-AdenoCA
DO46408,11.11,33.33,22.22,0.0,0.0,33.33,Ovary-AdenoCA
DO28962,10.0,15.0,20.0,5.0,50.0,0.0,Ovary-AdenoCA
DO46560,0.0,28.57,14.29,0.0,28.57,28.57,Ovary-AdenoCA
DO46376,10.0,10.0,25.0,5.0,25.0,25.0,Ovary-AdenoCA
DO32420,11.11,22.22,22.22,0.0,44.44,0.0,Ovary-AdenoCA
DO46358,8.33,8.33,8.33,16.67,33.33,25.0,Ovary-AdenoCA
DO46356,4.35,8.7,8.7,8.7,21.74,47.83,Ovary-AdenoCA
DO46398,0.0,21.43,14.29,7.14,21.43,35.71,Ovary-AdenoCA
DO46333,8.7,4.35,30.43,4.35,39.13,13.04,Ovary-AdenoCA
DO46420,17.5,12.5,20.0,2.5,32.5,15.0,Ovary-AdenoCA
DO46331,35.71,7.14,28.57,7.14,14.29,7.14,Ovary-AdenoCA
DO31869,11.76,20.59,17.65,2.94,26.47,20.59,Ovary-AdenoCA
DO46334,6.25,18.75,6.25,6.25,25.0,37.5,Ovary-AdenoCA
DO29146,0.0,20.83,12.5,0.0,33.33,33.33,Ovary-AdenoCA
DO30340,7.14,7.14,28.57,0.0,21.43,35.71,Ovary-AdenoCA
DO29850,11.76,5.88,11.76,0.0,35.29,35.29,Ovary-AdenoCA
DO28273,6.25,18.75,12.5,12.5,12.5,37.5,Ovary-AdenoCA
DO46352,3.33,23.33,23.33,3.33,26.67,20.0,Ovary-AdenoCA
DO46542,10.0,16.67,23.33,0.0,13.33,36.67,Ovary-AdenoCA
DO46602,0.0,0.0,0.0,0.0,62.5,37.5,Ovary-AdenoCA
DO28233,10.53,15.79,36.84,5.26,21.05,10.53,Ovary-AdenoCA
DO46412,10.53,15.79,13.16,13.16,7.89,39.47,Ovary-AdenoCA
DO30060,21.43,7.14,7.14,0.0,14.29,50.0,Ovary-AdenoCA
DO46360,11.11,11.11,22.22,0.0,27.78,27.78,Ovary-AdenoCA
DO28289,8.33,8.33,16.67,16.67,25.0,25.0,Ovary-AdenoCA
DO32596,8.89,15.56,13.33,11.11,40.0,11.11,Ovary-AdenoCA
DO46384,0.0,16.67,33.33,0.0,33.33,16.67,Ovary-AdenoCA
DO46556,12.77,19.15,21.28,4.26,27.66,14.89,Ovary-AdenoCA
DO31729,8.7,13.04,30.43,4.35,21.74,21.74,Ovary-AdenoCA
DO31420,7.69,0.0,7.69,7.69,38.46,38.46,Ovary-AdenoCA
DO46342,13.95,9.3,20.93,6.98,32.56,16.28,Ovary-AdenoCA
DO46327,0.0,16.67,8.33,8.33,41.67,25.0,Ovary-AdenoCA
DO46400,9.09,12.12,15.15,9.09,36.36,18.18,Ovary-AdenoCA
DO46588,7.14,7.14,35.71,14.29,14.29,21.43,Ovary-AdenoCA
DO29940,14.29,14.29,0.0,14.29,28.57,28.57,Ovary-AdenoCA
DO46386,17.65,5.88,29.41,0.0,35.29,11.76,Ovary-AdenoCA
DO46364,0.0,14.29,0.0,0.0,57.14,28.57,Ovary-AdenoCA
DO46338,0.0,16.67,16.67,0.0,33.33,33.33,Ovary-AdenoCA
DO46591,10.2,59.18,4.08,2.04,6.12,18.37,Ovary-AdenoCA
DO46488,11.76,5.88,17.65,0.0,47.06,17.65,Ovary-AdenoCA
DO30750,8.7,8.7,30.43,0.0,39.13,13.04,Ovary-AdenoCA
DO46551,8.33,0.0,45.83,0.0,20.83,25.0,Ovary-AdenoCA
DO28763,5.88,11.76,17.65,5.88,29.41,29.41,Ovary-AdenoCA
DO46378,7.32,14.63,21.95,12.2,39.02,4.88,Ovary-AdenoCA
DO28119,25.93,18.52,25.93,3.7,22.22,3.7,Ovary-AdenoCA
DO46362,0.0,22.22,11.11,0.0,22.22,44.44,Ovary-AdenoCA
DO46390,3.23,22.58,25.81,3.23,38.71,6.45,Ovary-AdenoCA
DO46392,6.25,18.75,31.25,6.25,25.0,12.5,Ovary-AdenoCA
DO46350,0.0,6.25,6.25,6.25,43.75,37.5,Ovary-AdenoCA
