,gene,expr,reptime,hic,N_nonsilent,N_silent,N_noncoding,n_nonsilent,n_silent,n_noncoding,nnei,x,X,p,q,feature
0,ARID1A,975965.0,182.0,27.0,510226,155296,8333418,15,0,16,5,72,37916653,0.0,0.0,Lymph-BNHL
1,BCL2,207116.0,522.0,60.0,57440,19259,20847831,58,41,1039,0,1039,20847831,0.0,0.0,Lymph-BNHL
2,CARD11,635400.0,558.0,24.0,283323,82917,14065298,17,0,26,1,27,15949588,0.0,0.0,Lymph-BNHL
3,CREBBP,637890.0,242.0,39.0,599887,177274,15443326,42,1,43,0,43,15443326,0.0,0.0,Lymph-BNHL
4,DDX3X,627364.0,,54.0,166385,46117,1586382,10,0,5,5,49,16804707,0.0,0.0,Lymph-BNHL
5,EZH2,564321.0,434.0,13.0,186327,48639,7888619,14,0,15,1,18,10166308,0.0,0.0,Lymph-BNHL
6,FBXO11,486669.0,587.0,27.0,212586,57074,10211855,16,1,20,12,98,44990581,0.0,0.0,Lymph-BNHL
7,GNA13,811904.0,401.0,12.0,93324,26203,4695523,10,0,15,2,20,7076662,0.0,0.0,Lymph-BNHL
8,GNAI2,846254.0,199.0,44.0,81135,21811,2310875,12,0,9,2,16,5312455,0.0,0.0,Lymph-BNHL
9,ID3,1050775.0,159.0,32.0,26391,8937,154995,15,0,0,50,207,121259432,0.0,0.0,Lymph-BNHL
10,KLHL21,628180.0,259.0,38.0,140704,47078,1047989,9,4,2,50,495,222927275,0.0,0.0,Lymph-BNHL
11,KMT2D,,,,1297117,431998,2054658,55,1,6,2,40,10831346,0.0,0.0,Lymph-BNHL
12,MYD88,302137.0,411.0,32.0,75390,24361,381208,9,0,0,39,838,354988038,0.0,0.0,Lymph-BNHL
13,P2RY8,,,,86135,29104,7860113,15,0,37,2,71,16636801,0.0,0.0,Lymph-BNHL
14,PRKCD,845193.0,192.0,46.0,169431,45340,3025927,10,0,4,10,98,49126465,0.0,0.0,Lymph-BNHL
15,PTEN,259678.0,300.0,34.0,103373,25612,11442188,7,0,22,5,36,19268911,0.0,0.0,Lymph-BNHL
16,RHOA,1623187.0,201.0,33.0,47405,13235,5496275,7,0,6,2,8,7990191,0.0,0.0,Lymph-BNHL
17,SMARCA4,1984564.0,190.0,40.0,389638,115025,10052911,13,1,25,25,122,57843798,0.0,0.0,Lymph-BNHL
18,TBL1XR1,135357.0,433.0,0.0,128791,35759,18621614,9,0,72,0,72,18621614,0.0,0.0,Lymph-BNHL
19,TP53,2069567.0,213.0,34.0,94078,28821,1832353,25,0,13,15,31,8085125,0.0,0.0,Lymph-BNHL
20,TRAPPC2P1,,,,36220,8646,137046,2,1,0,50,974,341345228,0.0,0.0,Lymph-BNHL
21,TNFRSF14,339388.0,228.0,38.0,63102,19489,637535,17,0,4,2,13,2183658,2.742251e-13,2.396353e-10,Lymph-BNHL
22,B2M,673122.0,428.0,36.0,30036,8744,467338,22,0,8,0,8,467338,1.179945e-12,9.862801e-10,Lymph-BNHL
23,TMEM30A,394127.0,423.0,-3.0,87864,25115,3249005,8,1,1,0,1,3249005,1.9918209999999998e-08,1.595532e-05,Lymph-BNHL
24,MEF2B,1260413.0,215.0,35.0,84961,31052,4674718,11,0,22,0,22,4674718,1.0410960000000002e-07,8.006024999999999e-05,Lymph-BNHL
25,STAT6,2122802.0,172.0,52.0,188538,58119,3162318,14,0,7,1,8,3524115,1.6094709999999998e-07,0.000119008,Lymph-BNHL
26,CCND3,467876.0,186.0,41.0,68886,23119,620004,14,0,40,0,40,620004,3.638625e-07,0.0002590836,Lymph-BNHL
27,EBF1,123440.0,728.0,39.0,145480,43633,42497360,11,2,182,1,183,42789577,8.683983999999999e-07,0.0005962485,Lymph-BNHL
28,GRB2,1869080.0,157.0,24.0,54203,13917,9142839,7,1,32,4,49,15352363,1.7150769999999999e-06,0.001136978,Lymph-BNHL
29,RRAGC,524940.0,458.0,24.0,100381,27326,2137523,8,0,3,2,3,3908683,2.5026499999999997e-06,0.0016037820000000002,Lymph-BNHL
30,PCBP1,686152.0,156.0,52.0,83750,26334,46182,5,2,0,2,20,11006160,4.347954e-06,0.002696433,Lymph-BNHL
31,HIST1H2BC,398813.0,636.0,53.0,30768,9614,921353,12,4,13,0,13,921353,4.8337090000000004e-06,0.002904002,Lymph-BNHL
32,KLHL6,712779.0,593.0,32.0,153497,43976,7057673,13,1,65,0,65,7057673,1.973966e-05,0.01129801,Lymph-BNHL
33,FOXO1,237876.0,449.0,55.0,160744,47951,11495334,11,1,49,1,53,13651491,1.9980870000000002e-05,0.01129801,Lymph-BNHL
34,BTK,374364.0,,37.0,166492,45047,3720283,7,0,11,8,116,49335335,2.7189759999999996e-05,0.01493494,Lymph-BNHL
35,KLHL14,213836.0,913.0,-12.0,153707,45714,10417765,9,1,32,3,97,28469792,3.675231e-05,0.01962676,Lymph-BNHL
36,STAT3,2140948.0,160.0,32.0,193233,53671,7667515,11,0,30,0,30,7667515,3.953858e-05,0.02054403,Lymph-BNHL
