gene	expr	reptime	hic
A1BG	1621097.0	406.0	-25.0
A1CF	113129.0	613.0	19.0
RBFOX1	2474.0	1138.0	-47.0
A2M	348389.0	364.0	17.0
A2ML1	300254.0	407.0	12.0
A4GALT	808038.0	168.0	72.0
A4GNT	190056.0	464.0	9.0
AAAS	1701810.0	166.0	58.0
AACS	894670.0	306.0	13.0
AADAC	200470.0	526.0	2.0
AADACL2	91028.0	611.0	-5.0
AADACL3	145424.0	454.0	23.0
AADACL4	145424.0	454.0	23.0
AADAT	132912.0	831.0	-13.0
AAGAB	312039.0	320.0	45.0
AAK1	639466.0	309.0	35.0
AAMP	730654.0	197.0	33.0
AANAT	1202221.0	197.0	29.0
AARS	1335968.0	139.0	42.0
AARS2	1037256.0	312.0	54.0
AARSD1	1507064.0	201.0	26.0
AASDH	639545.0	594.0	5.0
AASDHPPT	86519.0	753.0	-16.0
AASS	57655.0	988.0	-13.0
AATF	668463.0	384.0	16.0
AATK	1737949.0	243.0	22.0
ABAT	402778.0	358.0	-10.0
ABCA1	195112.0	637.0	-18.0
ABCA10	137274.0	415.0	-43.0
ABCA12	526764.0	857.0	9.0
ABCA13	93300.0	878.0	-11.0
ABCA2	1951939.0	202.0	40.0
ABCA3	2220466.0	233.0	46.0
ABCA4	512482.0	370.0	-2.0
ABCA5	52620.0	314.0	-50.0
ABCA6	240031.0	493.0	-39.0
ABCA7	2387949.0	206.0	26.0
ABCA8	295848.0	637.0	-41.0
ABCA9	263023.0	602.0	-42.0
ABCB1	287293.0	822.0	0.0
ABCB10	255826.0	277.0	20.0
ABCB11	223582.0	560.0	1.0
ABCB4	225315.0	837.0	8.0
ABCB5	164218.0	648.0	4.0
ABCB6	773232.0	177.0	36.0
ABCB7	183021.0		-5.0
ABCB8	622098.0	373.0	41.0
ABCB9	1093113.0	196.0	47.0
ABCC1	409366.0	264.0	33.0
ABCC10	1270265.0	230.0	49.0
ABCC11	216539.0	578.0	-22.0
ABCC12	229669.0	628.0	-27.0
ABCC2	1035115.0	171.0	30.0
ABCC3	1585602.0	196.0	18.0
ABCC4	200377.0	596.0	30.0
ABCC5	1425631.0	375.0	43.0
ABCC6	385823.0	188.0	23.0
ABCC8	454503.0	598.0	14.0
ABCC9	529911.0	984.0	-17.0
ABCD1	1910154.0		37.0
ABCD2	70113.0	596.0	-16.0
ABCD3	459824.0	348.0	-8.0
ABCD4	652027.0	358.0	47.0
ABCE1	189309.0	1139.0	32.0
ABCF1	2080582.0	271.0	32.0
ABCF2	610106.0	290.0	32.0
ABCF3	1460188.0	257.0	49.0
ABCG1	289449.0	464.0	75.0
ABCG2	432576.0	209.0	-7.0
ABCG4	1258103.0	195.0	57.0
ABCG5	544941.0	480.0	35.0
ABCG8	501561.0	480.0	30.0
ABHD1	1214097.0	238.0	50.0
ABHD10	239044.0	250.0	10.0
ABHD11	1082063.0	214.0	54.0
ABHD12	608597.0	348.0	-3.0
ABHD12B	411016.0	431.0	41.0
ABHD13	71759.0	952.0	-32.0
ABHD14A	1045639.0	224.0	36.0
ABHD14B	1045639.0	224.0	36.0
ABHD15	802576.0	353.0	23.0
ABHD2	639252.0	388.0	22.0
ABHD3	269726.0	244.0	57.0
ABHD4	975314.0	380.0	49.0
ABHD5	103561.0	437.0	33.0
ABHD6	611196.0	221.0	43.0
ABHD8	842088.0	211.0	43.0
ABI1	342602.0	447.0	30.0
ABI2	415048.0	298.0	23.0
ABI3	816202.0	346.0	24.0
ABI3BP	459170.0	548.0	-1.0
ABL1	505506.0	211.0	29.0
ABL2	328468.0	301.0	6.0
ABLIM1	267957.0	257.0	13.0
ABLIM2	172573.0	230.0	36.0
ABLIM3	339889.0	423.0	17.0
ABO	1865433.0	416.0	45.0
ABP1	763140.0	604.0	19.0
ABR	1346718.0	270.0	22.0
ABRA	113560.0	708.0	18.0
ABT1	411992.0	498.0	24.0
ABTB1	679358.0	336.0	45.0
ABTB2	769733.0	368.0	32.0
ACAA1	302137.0	411.0	32.0
ACAA2	290591.0	530.0	35.0
ACACA	526151.0	346.0	13.0
ACACB	528828.0	519.0	29.0
ACAD10	599161.0	203.0	33.0
ACAD11	210777.0	598.0	19.0
ACAD8	270350.0	623.0	21.0
ACAD9	1117839.0	382.0	54.0
ACADL	190249.0	696.0	2.0
ACADM	152734.0	578.0	-13.0
ACADS	1741363.0	349.0	42.0
ACADSB	256010.0	673.0	17.0
ACADVL	1782958.0	316.0	21.0
ACAN	561599.0	560.0	-1.0
ACAP1	1911735.0	206.0	36.0
ACAP2	431673.0	561.0	43.0
ACAP3	1744013.0	273.0	28.0
ACAT1	417904.0	695.0	19.0
ACAT2	648197.0	420.0	22.0
ACBD3	756400.0	214.0	24.0
ACBD4	806811.0	207.0	32.0
ACBD5	383472.0	555.0	36.0
ACBD6	543108.0	445.0	12.0
ACBD7	254900.0	620.0	21.0
ACCN1	34504.0	1007.0	-15.0
ASIC1	1003045.0	211.0	56.0
ASIC3	622098.0	373.0	41.0
ASIC4	554323.0	403.0	33.0
ASIC5	43787.0	643.0	-2.0
ACCS	345807.0	680.0	3.0
ACCSL	389604.0	680.0	1.0
ACD	1065785.0	147.0	41.0
ACE	874574.0	267.0	-20.0
ACE2	179295.0		32.0
ACER1	943949.0	407.0	31.0
ACER2	496889.0	421.0	24.0
ACER3	279729.0	351.0	36.0
ACHE	1339207.0	433.0	48.0
ACIN1	1261207.0	185.0	41.0
ACLY	1857838.0	191.0	33.0
ACMSD	275440.0	496.0	15.0
ACN9	146007.0	987.0	-9.0
ACO1	290567.0	424.0	-18.0
ACO2	1474160.0	162.0	69.0
ACOT1			
ACOT11	688014.0	415.0	18.0
ACOT12	114956.0	831.0	16.0
ACOT13	421216.0	362.0	24.0
ACOT2	606300.0	169.0	39.0
ACOT4	606300.0	169.0	39.0
ACOT6	606300.0	169.0	39.0
ACOT7	643590.0	176.0	26.0
ACOT8	742720.0	180.0	48.0
ACOT9	473183.0		48.0
ACOX1	1667990.0	194.0	22.0
ACOX2	551037.0	265.0	33.0
ACOX3	138504.0	332.0	47.0
ACOXL			
ACP1	304765.0	624.0	-18.0
ACP2	1274054.0	198.0	38.0
ACP5	1152381.0	272.0	31.0
ACP6			
ACPL2	333903.0	352.0	22.0
ACPP	210154.0	765.0	13.0
ACPT	652250.0	593.0	27.0
