,Donor,chr-pos,n_syn,n_nsyn,n_coding,n_all
0,DO37432,1-10,0,0,0,0
1,DO37827,1-10,0,0,0,0
2,DO47268,1-10,0,0,0,0
3,DO37896,1-10,0,0,0,0
4,DO37435,1-10,0,0,0,0
5,DO47451,1-10,0,0,0,3
6,DO37861,1-10,0,0,0,0
7,DO37515,1-10,0,0,0,0
8,DO37425,1-10,0,0,0,0
9,DO37439,1-10,0,0,0,0
10,DO51251,1-10,0,0,0,1
11,DO37474,1-10,0,0,0,0
12,DO37527,1-10,0,0,0,0
13,DO37607,1-10,0,0,0,0
14,DO37946,1-10,0,0,0,0
15,DO47542,1-10,0,0,0,0
16,DO37424,1-10,0,0,0,0
17,DO37531,1-10,0,0,0,0
18,DO37703,1-10,0,0,0,0
19,DO37440,1-10,0,0,0,0
20,DO37659,1-10,0,0,0,0
21,DO37409,1-10,0,0,0,0
22,DO37587,1-10,0,0,0,11
23,DO37627,1-10,0,0,0,0
24,DO37418,1-10,0,0,0,0
25,DO37445,1-10,0,1,1,1
26,DO37427,1-10,0,0,0,3
27,DO47331,1-10,0,0,0,0
28,DO37750,1-10,0,0,0,0
29,DO37426,1-10,0,0,0,0
30,DO37599,1-10,0,0,0,0
31,DO37719,1-10,0,0,0,0
32,DO37758,1-10,0,0,0,9
33,DO37782,1-10,0,0,0,0
34,DO47255,1-10,0,0,0,0
35,DO38129,1-10,0,0,0,0
36,DO37723,1-10,0,0,0,3
37,DO220887,1-10,0,0,0,0
38,DO220872,1-10,0,0,0,0
39,DO220889,1-10,0,0,0,0
40,DO220862,1-10,0,0,0,0
41,DO220863,1-10,0,0,0,2
42,DO220885,1-10,0,0,0,0
43,DO220843,1-10,0,0,0,2
44,DO220870,1-10,0,0,0,2
45,DO220890,1-10,0,0,0,0
46,DO220855,1-10,0,0,0,0
47,DO220847,1-10,0,0,0,1
48,DO220901,1-10,0,0,0,0
49,DO220899,1-10,0,0,0,0
50,DO220907,1-10,0,0,0,0
51,DO220851,1-10,0,0,0,0
52,DO220900,1-10,0,0,0,0
53,DO220874,1-10,0,0,0,0
54,DO220875,1-10,0,0,0,0
55,DO220864,1-10,0,0,0,2
56,DO220844,1-10,0,0,0,1
57,DO220883,1-10,0,0,0,0
58,DO220866,1-10,0,0,0,12
59,DO220903,1-10,0,0,0,0
60,DO220868,1-10,0,0,0,0
61,DO220893,1-10,0,0,0,0
62,DO220858,1-10,0,0,0,2
63,DO220888,1-10,0,0,0,0
64,DO220897,1-10,0,0,0,0
65,DO220886,1-10,0,0,0,0
66,DO220877,1-10,0,0,0,0
67,DO220902,1-10,0,0,0,0
68,DO220912,1-10,0,0,0,0
69,DO220898,1-10,0,0,0,0
70,DO220910,1-10,0,0,0,0
71,DO220881,1-10,0,0,0,0
72,DO220845,1-10,0,0,0,3
73,DO220884,1-10,0,0,0,0
74,DO220894,1-10,0,0,0,0
75,DO220861,1-10,0,0,0,0
76,DO220871,1-10,0,0,0,4
77,DO220848,1-10,0,0,0,1
78,DO220860,1-10,0,0,0,0
79,DO220859,1-10,0,0,0,0
80,DO220911,1-10,0,0,0,0
81,DO220891,1-10,0,0,0,0
82,DO220841,1-10,0,0,0,8
83,DO220878,1-10,0,0,0,0
84,DO220892,1-10,0,0,0,1
85,DO220913,1-10,0,0,0,0
86,DO220842,1-10,0,0,0,5
87,DO220846,1-10,0,0,0,2
88,DO220908,1-10,0,0,0,0
89,DO220879,1-10,0,0,0,0
90,DO220904,1-10,0,0,0,4
91,DO220895,1-10,0,0,0,0
92,DO220849,1-10,0,0,0,2
93,DO220857,1-10,0,0,0,0
94,DO220853,1-10,0,0,0,0
95,DO220906,1-10,0,0,0,0
96,DO220865,1-10,0,0,0,1
97,DO220882,1-10,0,0,0,0
98,DO220867,1-10,0,0,0,1
99,DO220850,1-10,0,0,0,0
100,DO220905,1-10,0,0,0,2
101,DO220880,1-10,0,0,0,0
102,DO220896,1-10,0,0,0,0
103,DO220873,1-10,0,0,0,0
104,DO220852,1-10,0,0,0,0
105,DO37432,1-11,0,0,0,0
106,DO37827,1-11,0,0,0,0
107,DO47268,1-11,0,0,0,0
108,DO37896,1-11,0,0,0,0
109,DO37435,1-11,0,0,0,0
110,DO47451,1-11,0,0,0,0
111,DO37861,1-11,0,0,0,0
112,DO37515,1-11,0,0,0,0
113,DO37425,1-11,0,0,0,0
114,DO37439,1-11,0,0,0,0
115,DO51251,1-11,0,0,0,3
116,DO37474,1-11,0,0,0,0
117,DO37527,1-11,0,0,0,1
118,DO37607,1-11,0,0,0,0
119,DO37946,1-11,0,0,0,0
120,DO47542,1-11,0,0,0,0
121,DO37424,1-11,0,0,0,0
122,DO37531,1-11,0,0,0,0
123,DO37703,1-11,0,0,0,0
124,DO37440,1-11,0,0,0,0
125,DO37659,1-11,0,0,0,0
126,DO37409,1-11,0,0,0,0
127,DO37587,1-11,0,0,0,11
128,DO37627,1-11,0,0,0,0
129,DO37418,1-11,0,0,0,0
130,DO37445,1-11,0,0,0,3
131,DO37427,1-11,0,0,0,1
132,DO47331,1-11,0,0,0,0
133,DO37750,1-11,0,0,0,0
134,DO37426,1-11,0,0,0,0
135,DO37599,1-11,0,0,0,0
136,DO37719,1-11,0,0,0,0
137,DO37758,1-11,0,0,0,5
138,DO37782,1-11,0,0,0,0
139,DO47255,1-11,0,0,0,0
140,DO38129,1-11,0,0,0,0
141,DO37723,1-11,0,0,0,1
142,DO220887,1-11,0,0,0,0
143,DO220872,1-11,0,0,0,0
144,DO220889,1-11,0,0,0,0
145,DO220862,1-11,0,0,0,0
146,DO220863,1-11,0,0,0,0
147,DO220885,1-11,0,0,0,0
148,DO220843,1-11,0,0,0,1
149,DO220870,1-11,0,0,0,2
150,DO220890,1-11,0,0,0,0
151,DO220855,1-11,0,0,0,0
152,DO220847,1-11,0,0,0,0
153,DO220901,1-11,0,0,0,0
154,DO220899,1-11,0,0,0,0
155,DO220907,1-11,0,0,0,0
156,DO220851,1-11,0,0,0,0
157,DO220900,1-11,0,0,0,0
158,DO220874,1-11,0,0,0,0
159,DO220875,1-11,0,0,0,0
160,DO220864,1-11,0,0,0,8
161,DO220844,1-11,0,0,0,1
162,DO220883,1-11,0,0,0,0
163,DO220866,1-11,0,0,0,9
164,DO220903,1-11,0,0,0,0
165,DO220868,1-11,0,0,0,0
166,DO220893,1-11,0,0,0,0
167,DO220858,1-11,0,0,0,1
168,DO220888,1-11,0,0,0,4
169,DO220897,1-11,0,0,0,0
170,DO220886,1-11,0,0,0,0
171,DO220877,1-11,0,0,0,0
172,DO220902,1-11,0,0,0,0
173,DO220912,1-11,0,0,0,0
174,DO220898,1-11,0,0,0,0
175,DO220910,1-11,0,0,0,0
176,DO220881,1-11,0,0,0,0
177,DO220845,1-11,0,0,0,1
178,DO220884,1-11,0,0,0,0
179,DO220894,1-11,0,0,0,0
180,DO220861,1-11,0,0,0,0
181,DO220871,1-11,0,0,0,1
182,DO220848,1-11,0,0,0,0
183,DO220860,1-11,0,0,0,0
184,DO220859,1-11,0,0,0,0
185,DO220911,1-11,0,0,0,0
186,DO220891,1-11,0,0,0,0
187,DO220841,1-11,0,0,0,6
188,DO220878,1-11,0,0,0,0
189,DO220892,1-11,0,0,0,2
190,DO220913,1-11,0,0,0,0
191,DO220842,1-11,0,0,0,3
192,DO220846,1-11,0,0,0,3
193,DO220908,1-11,0,0,0,0
194,DO220879,1-11,0,0,0,0
195,DO220904,1-11,0,0,0,1
196,DO220895,1-11,0,0,0,0
197,DO220849,1-11,0,0,0,0
198,DO220857,1-11,0,0,0,0
199,DO220853,1-11,0,0,0,0
200,DO220906,1-11,0,0,0,0
201,DO220865,1-11,0,0,0,1
202,DO220882,1-11,0,0,0,0
203,DO220867,1-11,0,0,0,1
204,DO220850,1-11,0,0,0,0
205,DO220905,1-11,0,0,0,7
206,DO220880,1-11,0,0,0,0
207,DO220896,1-11,0,0,0,0
208,DO220873,1-11,0,0,0,0
209,DO220852,1-11,0,0,0,0
210,DO37432,1-12,0,0,0,0
211,DO37827,1-12,0,0,0,0
212,DO47268,1-12,0,0,0,0
213,DO37896,1-12,0,0,0,0
214,DO37435,1-12,0,0,0,0
215,DO47451,1-12,0,0,0,1
216,DO37861,1-12,0,0,0,0
217,DO37515,1-12,0,0,0,0
218,DO37425,1-12,0,0,0,0
219,DO37439,1-12,0,0,0,0
220,DO51251,1-12,0,0,0,2
221,DO37474,1-12,0,0,0,0
222,DO37527,1-12,0,0,0,4
223,DO37607,1-12,0,0,0,0
224,DO37946,1-12,0,0,0,0
225,DO47542,1-12,0,0,0,0
226,DO37424,1-12,0,0,0,0
227,DO37531,1-12,0,0,0,0
228,DO37703,1-12,0,0,0,0
229,DO37440,1-12,0,0,0,0
230,DO37659,1-12,0,0,0,0
231,DO37409,1-12,0,0,0,0
232,DO37587,1-12,0,0,0,4
233,DO37627,1-12,0,0,0,0
234,DO37418,1-12,0,0,0,0
235,DO37445,1-12,0,0,0,1
236,DO37427,1-12,0,0,0,1
237,DO47331,1-12,0,0,0,0
238,DO37750,1-12,0,0,0,0
239,DO37426,1-12,0,0,0,0
240,DO37599,1-12,0,0,0,0
241,DO37719,1-12,0,0,0,0
242,DO37758,1-12,0,0,0,9
243,DO37782,1-12,0,0,0,0
244,DO47255,1-12,0,0,0,0
245,DO38129,1-12,0,0,0,0
246,DO37723,1-12,0,0,0,1
247,DO220887,1-12,0,0,0,0
248,DO220872,1-12,0,0,0,0
249,DO220889,1-12,0,0,0,0
250,DO220862,1-12,0,0,0,0
251,DO220863,1-12,0,0,0,1
252,DO220885,1-12,0,0,0,0
253,DO220843,1-12,0,0,0,2
254,DO220870,1-12,0,0,0,2
255,DO220890,1-12,0,0,0,0
256,DO220855,1-12,0,0,0,0
257,DO220847,1-12,0,0,0,1
258,DO220901,1-12,0,0,0,0
259,DO220899,1-12,0,0,0,0
260,DO220907,1-12,0,0,0,0
261,DO220851,1-12,0,0,0,0
262,DO220900,1-12,0,0,0,0
263,DO220874,1-12,0,0,0,0
264,DO220875,1-12,0,0,0,0
265,DO220864,1-12,0,0,0,2
266,DO220844,1-12,0,0,0,2
267,DO220883,1-12,0,0,0,0
268,DO220866,1-12,0,0,0,8
269,DO220903,1-12,0,0,0,0
270,DO220868,1-12,0,0,0,0
271,DO220893,1-12,0,0,0,0
272,DO220858,1-12,0,0,0,2
273,DO220888,1-12,0,0,0,3
274,DO220897,1-12,0,0,0,0
275,DO220886,1-12,0,0,0,0
276,DO220877,1-12,0,0,0,0
277,DO220902,1-12,0,0,0,0
278,DO220912,1-12,0,0,0,0
279,DO220898,1-12,0,0,0,0
280,DO220910,1-12,0,0,0,0
281,DO220881,1-12,0,0,0,0
282,DO220845,1-12,0,0,0,1
283,DO220884,1-12,0,0,0,0
284,DO220894,1-12,0,0,0,0
285,DO220861,1-12,0,0,0,0
286,DO220871,1-12,0,0,0,3
287,DO220848,1-12,0,0,0,1
288,DO220860,1-12,0,0,0,0
289,DO220859,1-12,0,0,0,0
290,DO220911,1-12,0,0,0,0
291,DO220891,1-12,0,0,0,0
292,DO220841,1-12,0,0,0,3
293,DO220878,1-12,0,0,0,0
