,Donor,chr-pos,n_syn,n_nsyn,n_coding,n_all
0,DO37432,1-27,0,0,0,0
1,DO37827,1-27,0,0,0,0
2,DO220887,1-27,0,0,0,0
3,DO220872,1-27,0,0,0,0
4,DO47268,1-27,0,0,0,0
5,DO220889,1-27,0,0,0,0
6,DO37896,1-27,0,0,0,0
7,DO220862,1-27,0,0,0,0
8,DO220863,1-27,0,0,0,2
9,DO37435,1-27,0,0,0,0
10,DO47451,1-27,0,0,0,2
11,DO220885,1-27,0,0,0,0
12,DO220843,1-27,0,0,0,5
13,DO220870,1-27,0,0,0,0
14,DO220890,1-27,0,0,0,0
15,DO220855,1-27,0,0,0,0
16,DO220847,1-27,0,0,0,4
17,DO220901,1-27,0,0,0,0
18,DO37861,1-27,0,0,0,0
19,DO37515,1-27,0,0,0,0
20,DO220899,1-27,0,0,0,0
21,DO220907,1-27,0,0,0,0
22,DO220851,1-27,0,0,0,0
23,DO220900,1-27,0,0,0,0
24,DO220874,1-27,0,0,0,0
25,DO220875,1-27,0,0,0,0
26,DO220864,1-27,0,0,0,9
27,DO220869,1-27,0,0,0,1
28,DO220844,1-27,0,0,0,5
29,DO37425,1-27,0,0,0,0
30,DO220883,1-27,0,0,0,0
31,DO37439,1-27,0,0,0,0
32,DO51251,1-27,0,0,0,3
33,DO37474,1-27,0,0,0,0
34,DO37527,1-27,0,0,0,2
35,DO220866,1-27,0,0,0,10
36,DO37607,1-27,0,0,0,0
37,DO220903,1-27,0,0,0,0
38,DO220868,1-27,0,0,0,6
39,DO37946,1-27,0,0,0,0
40,DO47542,1-27,0,0,0,0
41,DO220893,1-27,0,0,0,0
42,DO220858,1-27,0,0,0,1
43,DO220888,1-27,0,0,0,6
44,DO220897,1-27,0,0,0,0
45,DO220886,1-27,0,0,0,0
46,DO220877,1-27,0,0,0,0
47,DO220902,1-27,0,0,0,0
48,DO37424,1-27,0,0,0,28
49,DO37531,1-27,0,0,0,0
50,DO37703,1-27,0,0,0,0
51,DO220912,1-27,0,0,0,0
52,DO37440,1-27,0,0,0,0
53,DO220898,1-27,0,0,0,0
54,DO220910,1-27,0,0,0,0
55,DO220881,1-27,0,0,0,0
