,Donor,chr-pos,n_syn,n_nsyn,n_coding,n_all
0,DO46416,1-70,0,0,0,6
1,DO46581,1-70,0,0,0,5
2,DO28952,1-70,0,0,0,1
3,DO46606,1-70,0,0,0,4
4,DO27978,1-70,0,0,0,2
5,DO46372,1-70,0,0,0,5
6,DO46597,1-70,0,0,0,1
7,DO32391,1-70,0,0,0,1
8,DO46382,1-70,0,0,0,2
9,DO29398,1-70,0,0,0,10
10,DO28004,1-70,0,0,0,1
11,DO31551,1-70,0,0,0,4
12,DO46566,1-70,0,0,0,0
13,DO28823,1-70,0,0,0,0
14,DO29980,1-70,0,0,0,2
15,DO32646,1-70,0,0,0,1
16,DO28093,1-70,0,0,0,6
17,DO46402,1-70,0,0,0,3
18,DO46370,1-70,0,0,0,5
19,DO46388,1-70,0,0,0,4
20,DO46344,1-70,0,0,0,2
21,DO28089,1-70,0,0,0,2
22,DO30550,1-70,0,0,0,7
23,DO30220,1-70,0,0,0,2
24,DO30970,1-70,0,0,0,9
25,DO28024,1-70,0,0,0,3
26,DO46576,1-70,0,0,0,1
27,DO46568,1-70,0,0,0,2
28,DO46354,1-70,0,0,0,5
29,DO31150,1-70,0,0,0,7
30,DO29760,1-70,0,0,0,4
31,DO46561,1-70,0,0,0,4
32,DO32237,1-70,0,0,0,1
33,DO46346,1-70,0,0,0,3
34,DO46498,1-70,0,0,0,3
35,DO46380,1-70,0,0,0,20
36,DO46374,1-70,0,0,0,2
37,DO29308,1-70,0,0,0,3
38,DO31769,1-70,0,0,0,2
39,DO46408,1-70,0,0,0,3
40,DO28962,1-70,0,0,0,3
41,DO46560,1-70,0,0,0,3
42,DO46376,1-70,0,0,0,1
43,DO32420,1-70,0,0,0,0
44,DO46358,1-70,0,0,0,0
45,DO46356,1-70,0,0,0,3
46,DO46398,1-70,0,0,0,4
47,DO46333,1-70,0,0,0,1
48,DO46420,1-70,0,0,0,3
49,DO46331,1-70,0,0,0,2
50,DO31869,1-70,0,0,0,6
51,DO46334,1-70,0,0,0,3
52,DO29146,1-70,0,0,0,2
53,DO30340,1-70,0,0,0,3
